trajectory_id,program_id,task_id,family,variant,condition,task_text,reference_text,boundary_crossed,reference_start_token_index,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,semantic_step_balanced_entropy_top20,mean_p1,median_p1,mean_top20_mass,mean_reference_surprisal,median_reference_rank,fraction_p1_ge_090,fraction_p1_ge_099,step_mapped_token_fraction,boundary_overlap_token_fraction,unmapped_token_fraction
merge_sorted_descending__v2__pseudocode,merge_sorted_descending__v2,merge_sorted_descending,merge_sorted,2,pseudocode,"Given two lists sorted in descending order, merge them into one descending list.","PROCEDURE merge_sorted_descending(current, counter)
output <- []
item <- 0
value <- 0
WHILE (item < len(current) AND value < len(counter))
    IF current[item] >= counter[value]
        output.append(current[item])
        item <- item + 1
    ELSE
        output.append(counter[value])
        value <- value + 1
output.extend(current[item:])
output.extend(counter[value:])
RETURN output",False,19,89,88,True,0.2520800635363491,0.010412298142910004,0.25827463944586593,0.010465871542692184,0.18450743553511853,0.9114228585226969,0.998765766620636,0.9994289360263131,1.4244841248394122,1.0,0.7272727272727273,0.5909090909090909,0.9803921568627451,0.0,0.0196078431372549
reverse_list__v1__python_opaque,reverse_list__v1,reverse_list,reverse_sequence,1,python_opaque,"Given a list, create a new list containing the same values in reverse order.","def zav0(mip0):
    tuk0 = []
    for qel0 in range(len(mip0) - 1, -1, -1):
        tuk0.append(mip0[qel0])
    return tuk0",False,20,53,52,True,0.2290663906933081,0.0026587494648993015,0.2636430990308604,0.0030373234767466784,0.39972299694544466,0.9273584467860368,0.9997284412384033,0.9959803705032055,2.257584722070738,1.0,0.8076923076923077,0.6730769230769231,1.0,0.0,0.0
matrix_column_sums__v3__pseudocode,matrix_column_sums__v3,matrix_column_sums,matrix_aggregate,3,pseudocode,"Given a non-empty rectangular matrix of numbers, return a list containing the sum of each column.","PROCEDURE matrix_column_sums(entry)
x <- []
FOR element IN range(len(entry[0]))
    n_count <- 0
    FOR result IN entry
        n_count <- n_count + result[element]
    x.append(n_count)
RETURN x",False,23,51,50,True,0.4134350758884102,0.0816134661436081,0.4474540080346924,0.08902936428785324,0.36038692207937184,0.8601172229647637,0.9873428046703339,0.9962940645217896,2.5001416310079687,1.0,0.66,0.48,1.0,0.0,0.0
count_character__v2__python_canonical,count_character__v2,count_character,char_count,2,python_canonical,"Given a string and a character, count how many times that character appears.","def count_character(output, current):
    value = 0
    for item in output:
        if item == current:
            value += 1
    return value",False,19,34,33,True,0.18869933943069278,0.019833818078041077,0.19216216116998994,0.019856959581375122,0.22429211802945145,0.9418166731343125,0.9973765015602112,0.999682301824743,1.819448847614777,1.0,0.8181818181818182,0.6666666666666666,1.0,0.0,0.0
count_primes_up_to__v1__procedural_prose,count_primes_up_to__v1,count_primes_up_to,primality,1,procedural_prose,"Given a nonnegative integer n, count how many prime numbers are at most n.","Define a procedure named count_primes_up_to that receives n.
Set count to 0.
For each candidate in range(2, (n + 1)), do the following.
    Set prime to true.
    Set divisor to 2.
    While (divisor * divisor) is at most candidate, do the following.
        If (candidate % divisor) equals 0, do the following.
            Set prime to false.
            Stop the current loop.
        Increase divisor by 1.
    If prime, do the following.
        Increase count by 1.
Return count.",False,21,119,118,True,0.32391487383211687,0.11016467958688736,0.33146040115060504,0.1110086478292942,0.3295496465986265,0.8918014603146052,0.9777097702026367,0.999207355208316,1.7543577341736472,1.0,0.711864406779661,0.3983050847457627,1.0,0.0,0.0
reverse_list__v2__python_canonical,reverse_list__v2,reverse_list,reverse_sequence,2,python_canonical,"Given a list, create a new list containing the same values in reverse order.","def reverse_list(current):
    value = []
    for item in range(len(current) - 1, -1, -1):
        value.append(current[item])
    return value",False,20,36,35,True,0.11542500776199631,0.002111969515681267,0.11626422266615138,0.0021187863312661648,0.24784073858382322,0.9677082044737679,0.9997972846031189,0.9999337894575936,1.3910610950095863,1.0,0.8571428571428571,0.7428571428571429,1.0,0.0,0.0
keep_letters__v1__python_opaque,keep_letters__v1,keep_letters,string_filter,1,python_opaque,"Given a string, return a new string containing only alphabetic characters.","def zav0(mip0):
    tuk0 = """"
    for qel0 in mip0:
        if qel0.isalpha():
            tuk0 += qel0
    return tuk0",False,18,45,44,True,0.2817671168512096,0.006102669285610318,0.3221162999392972,0.006155042443424463,0.34891567899476844,0.9106772531839934,0.9993738830089569,0.9953626841306686,2.2535156305255004,1.0,0.7954545454545454,0.7272727272727273,1.0,0.0,0.0
selection_sort_descending__v2__procedural_prose,selection_sort_descending__v2,selection_sort_descending,selection_sort,2,procedural_prose,"Given a list of numbers, sort it in descending order using selection sort and return the sorted copy.","Define a procedure named selection_sort_descending that receives counter.
Set output to counter[:].
For each current in range(len(output)), do the following.
    Set item to current.
    For each value in range((current + 1), len(output)), do the following.
        If output[value] is greater than output[item], do the following.
            Set item to value.
    Set (output[current], output[item]) to (output[item], output[current]).
Return output.",False,24,96,95,True,0.4972751923763242,0.1960071474313736,0.5474129112455749,0.19989587366580963,0.6063953175801339,0.828113505714818,0.9570745825767517,0.9928789935613933,1.9981828172106026,1.0,0.6,0.37894736842105264,1.0,0.0,0.0
anti_diagonal_sum__v1__python_opaque,anti_diagonal_sum__v1,anti_diagonal_sum,diagonal_aggregate,1,python_opaque,"Given a square matrix, calculate the sum of its anti-diagonal.","def zav0(mip0):
    tuk0 = 0
    qel0 = len(mip0)
    for vor0 in range(qel0):
        tuk0 += mip0[vor0][qel0 - 1 - vor0]
    return tuk0",False,18,62,61,True,0.3184588277997852,0.03504009544849396,0.3804984759153796,0.03554728627204895,0.4483495816947371,0.8876789412537559,0.9947755932807922,0.991456895578103,2.132237959315753,1.0,0.7868852459016393,0.5737704918032787,1.0,0.0,0.0
count_even_digits__v3__pseudocode,count_even_digits__v3,count_even_digits,digit_count,3,pseudocode,"Given a positive integer, count how many of its decimal digits are even.","PROCEDURE count_even_digits(x)
element <- 0
WHILE x > 0
    entry <- (x % 10)
    IF (entry % 2) = 0
        element <- element + 1
    x <- x // 10
RETURN element",False,19,60,59,True,0.23216542164877296,0.013072671368718147,0.23680832196712745,0.013968410901725292,0.22652464115680804,0.9051721545599275,0.9985724687576294,0.9995897119328127,1.5558984794292015,1.0,0.711864406779661,0.6271186440677966,1.0,0.0,0.0
linear_last_index__v3__pseudocode,linear_last_index__v3,linear_last_index,linear_search,3,pseudocode,"Given a list and a target, return the index of the last target occurrence or minus one if absent.","PROCEDURE linear_last_index(n_count, x)
element <- -1
FOR (entry, result) IN enumerate(n_count)
    IF result = x
        element <- entry
RETURN element",False,25,39,38,True,0.5868461703189256,0.25738251209259033,0.6414061529243267,0.31656500697135925,0.4095319805750882,0.7766128166725761,0.947961688041687,0.9939391926715249,4.049042306951474,1.0,0.5263157894736842,0.3157894736842105,1.0,0.0,0.0
count_below__v2__procedural_prose,count_below__v2,count_below,threshold_count,2,procedural_prose,"Given a list of numbers and a threshold, count the values less than the threshold.","Define a procedure named count_below that receives output and value.
Set item to 0.
For each current in output, do the following.
    If current is less than value, do the following.
        Increase item by 1.
Return item.",False,21,50,49,True,0.6182670292981464,0.46250349283218384,0.6739897572213299,0.4726608991622925,0.6332713161839854,0.7976269943981754,0.8759686946868896,0.9931176402130906,2.8188210367718836,1.0,0.46938775510204084,0.20408163265306123,1.0,0.0,0.0
is_prime__v2__controlled_nl,is_prime__v2,is_prime,primality,2,controlled_nl,"Given an integer n, determine whether it is prime.","PROCEDURE is_prime INPUT value:
IF value < 2:
    RETURN FALSE
SET item TO 2.
WHILE (item * item) <= value:
    IF (value % item) = 0:
        RETURN FALSE
    UPDATE item USING + 1.
RETURN TRUE",False,15,58,57,True,0.2519749351006519,0.027579620480537415,0.2530003651105696,0.0276031494140625,0.2543729123241159,0.8991792709158178,0.9961756467819214,0.9999112194044548,2.530858322683134,1.0,0.7543859649122807,0.543859649122807,1.0,0.0,0.0
is_nondecreasing__v1__pseudocode,is_nondecreasing__v1,is_nondecreasing,monotonicity,1,pseudocode,"Given a list of numbers, determine whether it is in nondecreasing order.","PROCEDURE is_nondecreasing(values)
FOR index IN range(1, len(values))
    IF values[(index - 1)] > values[index]
        RETURN FALSE
RETURN TRUE",False,20,37,36,True,0.23020820622938723,0.03615366667509079,0.2310981634121466,0.036409636959433556,0.3025772311540398,0.910892152123981,0.9951926171779633,0.9999342362085978,2.2220157827371043,1.0,0.7222222222222222,0.5555555555555556,1.0,0.0,0.0
first_even_index__v3__python_canonical,first_even_index__v3,first_even_index,first_match_index,3,python_canonical,"Given a list of integers, return the index of the first even value, or minus one if none exists.","def first_even_index(x):
    for element, entry in enumerate(x):
        if entry % 2 == 0:
            return element
    return -1",False,26,33,32,True,0.13808919124505792,0.008944730274379253,0.1403574396969134,0.009297271259129047,0.19162245524579097,0.9605479817837477,0.9989743232727051,0.9997768923640251,1.5346621249092607,1.0,0.875,0.75,1.0,0.0,0.0
count_above__v1__python_canonical,count_above__v1,count_above,threshold_count,1,python_canonical,"Given a list of numbers and a threshold, count the values greater than the threshold.","def count_above(values, threshold):
    count = 0
    for value in values:
        if value > threshold:
            count += 1
    return count",False,21,34,33,True,0.15570124410587113,0.0015204425435513258,0.1564021444460402,0.0015521921450272202,0.2481443236576458,0.9339588754104845,0.9998544454574585,0.9999335932009148,0.5282603452626687,1.0,0.8787878787878788,0.8787878787878788,1.0,0.0,0.0
insertion_sort_descending__v3__pseudocode,insertion_sort_descending__v3,insertion_sort_descending,insertion_sort,3,pseudocode,"Given a list of numbers, sort it in descending order using insertion sort and return the sorted copy.","PROCEDURE insertion_sort_descending(n_count)
result <- n_count[:]
FOR entry IN range(1, len(result))
    element <- result[entry]
    x <- (entry - 1)
    WHILE (x >= 0 AND result[x] < element)
        result[(x + 1)] <- result[x]
        x <- x - 1
    result[(x + 1)] <- element
RETURN result",False,24,87,86,True,0.28359512238383233,0.03502240031957626,0.2953554719731687,0.03959529288113117,0.4069737188063967,0.9105220260315163,0.9945818185806274,0.9987266770628995,1.8182533809903636,1.0,0.7674418604651163,0.5465116279069767,1.0,0.0,0.0
insertion_sort_descending__v3__python_canonical,insertion_sort_descending__v3,insertion_sort_descending,insertion_sort,3,python_canonical,"Given a list of numbers, sort it in descending order using insertion sort and return the sorted copy.","def insertion_sort_descending(n_count):
    result = n_count[:]
    for entry in range(1, len(result)):
        element = result[entry]
        x = entry - 1
        while x >= 0 and result[x] < element:
            result[x + 1] = result[x]
            x -= 1
        result[x + 1] = element
    return result",False,24,83,82,True,0.14886036200328004,0.00814929767511785,0.15505378504518216,0.008809925988316536,0.23967635282673383,0.9496071980130382,0.9990624189376831,0.999300595463776,1.0629741842754044,1.0,0.8780487804878049,0.7804878048780488,1.0,0.0,0.0
count_odd__v3__procedural_prose,count_odd__v3,count_odd,parity_count,3,procedural_prose,"Given a list of integers, count how many values are odd.","Define a procedure named count_odd that receives x.
Set element to 0.
For each entry in x, do the following.
    If (entry % 2) does not equal 0, do the following.
        Increase element by 1.
Return element.",False,17,54,53,True,0.45562960178248657,0.40759867429733276,0.4690492630569387,0.4111934006214142,0.45839124514798946,0.8535701761830528,0.9116214513778687,0.9987109775813121,2.450609193073862,1.0,0.5283018867924528,0.2641509433962264,1.0,0.0,0.0
selection_sort_ascending__v2__python_opaque,selection_sort_ascending__v2,selection_sort_ascending,selection_sort,2,python_opaque,"Given a list of numbers, sort it in ascending order using selection sort and return the sorted copy.","def zav0(mip0):
    tuk0 = mip0[:]
    for qel0 in range(len(tuk0)):
        vor0 = qel0
        for nex0 in range(qel0 + 1, len(tuk0)):
            if tuk0[nex0] < tuk0[vor0]:
                vor0 = nex0
        tuk0[qel0], tuk0[vor0] = tuk0[vor0], tuk0[qel0]
    return tuk0",False,24,113,112,True,0.1612567466597692,0.0003930129751097411,0.19967351904781314,0.0003965153155149892,0.27384393411019675,0.9440625834810946,0.9999682009220123,0.9942769434835229,1.128302815039967,1.0,0.875,0.7946428571428571,1.0,0.0,0.0
filter_mapping_by_value__v1__python_opaque,filter_mapping_by_value__v1,filter_mapping_by_value,dictionary_transform,1,python_opaque,"Given a dictionary with numeric values and a threshold, return a new dictionary containing only entries whose value is greater than the threshold.","def zav0(mip0, tuk0):
    qel0 = {}
    for vor0, nex0 in mip0.items():
        if nex0 > tuk0:
            qel0[vor0] = nex0
    return qel0",False,29,56,55,True,0.3709253810563366,0.0031939642503857613,0.4756680251367464,0.0034503096248954535,0.5231932007525226,0.8706143791025335,0.9996835589408875,0.9831138773397966,2.085212914304962,1.0,0.7454545454545455,0.6727272727272727,1.0,0.0,0.0
count_digits__v3__pseudocode,count_digits__v3,count_digits,digit_count,3,pseudocode,"Given a positive integer, count its decimal digits.","PROCEDURE count_digits(entry)
element <- 0
WHILE entry > 0
    entry <- entry // 10
    element <- element + 1
RETURN element",False,14,37,36,True,0.2324420855919066,0.004965610452927649,0.2539399251015008,0.005093042738735676,0.2066795827843685,0.92198220309284,0.999474287033081,0.9977249635590447,1.8438750542460127,1.0,0.7777777777777778,0.6111111111111112,1.0,0.0,0.0
square_values__v2__controlled_nl,square_values__v2,square_values,element_transform,2,controlled_nl,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values INPUT current:
SET item TO [].
FOR EACH value IN current:
    EXECUTE item.append((value * value)).
RETURN item",False,20,30,29,True,0.7041233583265145,0.5319206714630127,0.7411389833753768,0.5324453711509705,0.7306960368261207,0.7305963542954675,0.8961189389228821,0.9951822243887802,4.693120542483861,3.0,0.4827586206896552,0.27586206896551724,1.0,0.0,0.0
partition_by_threshold__v1__controlled_nl,partition_by_threshold__v1,partition_by_threshold,partition,1,controlled_nl,"Given a list of numbers and a threshold, return two lists: values below the threshold and values at least the threshold, preserving order.","PROCEDURE partition_by_threshold INPUT values, threshold:
SET below TO [].
SET at_least TO [].
FOR EACH value IN values:
    IF value < threshold:
        EXECUTE below.append(value).
    ELSE
        EXECUTE at_least.append(value).
RETURN (below, at_least)",False,31,58,57,True,0.27993231209486685,0.006664564833045006,0.28658792247979525,0.0066707502119243145,0.2327468092143861,0.9089707465548265,0.9992522597312927,0.9992319836951139,2.5347835523719233,1.0,0.7894736842105263,0.5964912280701754,0.9736842105263158,0.0,0.02631578947368421
flatten_pairs__v3__pseudocode,flatten_pairs__v3,flatten_pairs,flatten_one_level,3,pseudocode,"Given a list of two-element pairs, flatten the pairs into one list in pair order.","PROCEDURE flatten_pairs(entry)
x <- []
FOR element IN entry
    x.append(element[0])
    x.append(element[1])
RETURN x",False,22,30,29,True,0.5583827179168644,0.4872291684150696,0.6019298473871333,0.4894895553588867,0.5311897088883294,0.8083200639691847,0.8519373536109924,0.9952184886767946,2.0148653287945404,1.0,0.4482758620689655,0.41379310344827586,1.0,0.0,0.0
invert_unique_map__v3__python_canonical,invert_unique_map__v3,invert_unique_map,dictionary_transform,3,python_canonical,"Given a dictionary whose values are unique, return a new dictionary mapping each original value to its original key.","def invert_unique_map(entry):
    x = {}
    for element, result in entry.items():
        x[result] = element
    return x",False,25,29,28,True,0.22854011014507186,0.01137860817834735,0.23425974469890726,0.011560340877622366,0.46462826450539674,0.9220102684838432,0.9986255466938019,0.9994874511446271,2.9808500010581156,1.0,0.75,0.7142857142857143,1.0,0.0,0.0
filter_mapping_by_value__v3__procedural_prose,filter_mapping_by_value__v3,filter_mapping_by_value,dictionary_transform,3,procedural_prose,"Given a dictionary with numeric values and a threshold, return a new dictionary containing only entries whose value is greater than the threshold.","Define a procedure named filter_mapping_by_value that receives entry and result.
Set x to {}.
For each (element, n_count) in entry.items(), do the following.
    If n_count is greater than result, do the following.
        Set x[element] to n_count.
Return x.",False,29,60,59,True,0.5400198354406203,0.4916651248931885,0.5987776416099284,0.5041747689247131,0.6118639977817827,0.8171841982057539,0.8938515186309814,0.9920459692761049,3.384925744855444,1.0,0.4915254237288136,0.1694915254237288,1.0,0.0,0.0
running_product__v3__python_opaque,running_product__v3,running_product,cumulative_scan,3,python_opaque,"Given a list of numbers, produce the running product after each position.","def zav0(mip0):
    tuk0 = 1
    qel0 = []
    for vor0 in mip0:
        tuk0 *= vor0
        qel0.append(tuk0)
    return qel0",False,18,52,51,True,0.3237710031708092,0.014444535598158836,0.393642506691977,0.015455055981874466,0.5073430621153165,0.8966755352768243,0.9980365633964539,0.9902726318321976,2.1935619124268317,1.0,0.7843137254901961,0.6274509803921569,1.0,0.0,0.0
binary_to_integer__v2__controlled_nl,binary_to_integer__v2,binary_to_integer,base_conversion,2,controlled_nl,"Given a string of binary digits, convert it to a nonnegative integer.","PROCEDURE binary_to_integer INPUT current:
SET value TO 0.
FOR EACH item IN current:
    SET value TO ((value * 2) + int(item)).
RETURN value",False,19,36,35,True,0.3389056966570414,0.13995972275733948,0.341273674164196,0.14368896186351776,0.3827249810289019,0.8686764597892761,0.9754720330238342,0.9997850298881531,4.047527913297088,1.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.0
bubble_sort_ascending__v2__controlled_nl,bubble_sort_ascending__v2,bubble_sort_ascending,bubble_sort,2,controlled_nl,"Given a list of numbers, sort it in ascending order using bubble sort and return the sorted copy.","PROCEDURE bubble_sort_ascending INPUT output:
SET current TO output[:].
FOR EACH item IN range((len(current) - 1), 0, -1):
    FOR EACH value IN range(item):
        IF current[value] > current[(value + 1)]:
            SET (current[value], current[(value + 1)]) TO (current[(value + 1)], current[value]).
RETURN current",False,24,83,82,True,0.26328720906956443,0.030864576809108257,0.2771034819340135,0.031015346758067608,0.3498957036682863,0.9133150181392344,0.9957968890666962,0.9985147910874065,2.476737396424733,1.0,0.7317073170731707,0.5609756097560976,1.0,0.0,0.0
anti_diagonal_sum__v3__procedural_prose,anti_diagonal_sum__v3,anti_diagonal_sum,diagonal_aggregate,3,procedural_prose,"Given a square matrix, calculate the sum of its anti-diagonal.","Define a procedure named anti_diagonal_sum that receives element.
Set result to 0.
Set x to len(element).
For each entry in range(x), do the following.
    Increase result by element[entry][((x - 1) - entry)].
Return result.",False,18,56,55,True,0.7534994348476175,0.6217588186264038,0.8361341378431958,0.6558468341827393,0.7469126369134217,0.7478600079363042,0.7972086668014526,0.9880869887091897,2.6801593511156336,1.0,0.38181818181818183,0.18181818181818182,1.0,0.0,0.0
matrix_row_sums__v2__nl_exp7_anchor,matrix_row_sums__v2,matrix_row_sums,matrix_aggregate,2,nl_exp7_anchor,"Given a matrix of numbers, return a list containing the sum of each row.","Build an empty result list. For each row, start a row total at zero, add every value in the row, and add the row total. Output the result.",False,20,34,33,True,0.5557807516588857,0.5693635940551758,0.5681483982427215,0.5696535706520081,,0.7858031310818412,0.8775633573532104,0.9987412546620225,3.140045655988312,2.0,0.42424242424242425,0.2727272727272727,,,
chunks_fixed_size__v3__pseudocode,chunks_fixed_size__v3,chunks_fixed_size,chunking,3,pseudocode,"Given a list and a positive chunk size, split the list into consecutive chunks of at most that size.","PROCEDURE chunks_fixed_size(result, entry)
element <- []
FOR x IN range(0, len(result), entry)
    element.append(result[x:(x + entry)])
RETURN element",False,25,36,35,True,0.4603186914431197,0.27256038784980774,0.4923790232411453,0.28352153301239014,0.41777777291523915,0.8315812247140068,0.9348598122596741,0.996660486289433,4.099009276015152,1.0,0.5142857142857142,0.2,1.0,0.0,0.0
most_frequent__v3__python_canonical,most_frequent__v3,most_frequent,mode_selection,3,python_canonical,"Given a non-empty list, return a value with the highest occurrence count, choosing the first such value on ties.","def most_frequent(result):
    entry = {}
    for x in result:
        entry[x] = entry.get(x, 0) + 1
    element = result[0]
    for x in result:
        if entry[x] > entry[element]:
            element = x
    return element",False,27,62,61,True,0.2886030848889963,0.014642595313489437,0.30069662867593205,0.014829335734248161,0.5413277345901026,0.8920775720330535,0.9982008934020996,0.9985876581707939,0.9649389837424573,1.0,0.7540983606557377,0.6229508196721312,1.0,0.0,0.0
binary_search_exact__v1__nl_exp7_anchor,binary_search_exact__v1,binary_search_exact,binary_search,1,nl_exp7_anchor,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","Set low and high indices around the search range. Repeatedly inspect the middle value, returning its index on a match. Discard the half that cannot contain the target. Return minus one if the range becomes empty.",False,24,44,43,True,0.7183699340310468,0.5786346197128296,0.7589526037133277,0.5920342206954956,,0.7681553842023362,0.8667788505554199,0.9950869859651078,2.7133269104661575,1.0,0.4418604651162791,0.16279069767441862,,,
merge_sorted_ascending__v2__python_opaque,merge_sorted_ascending__v2,merge_sorted_ascending,merge_sorted,2,python_opaque,"Given two lists sorted in ascending order, merge them into one ascending list.","def zav0(mip0, tuk0):
    qel0 = []
    vor0 = 0
    nex0 = 0
    while vor0 < len(mip0) and nex0 < len(tuk0):
        if mip0[vor0] <= tuk0[nex0]:
            qel0.append(mip0[vor0])
            vor0 += 1
        else:
            qel0.append(tuk0[nex0])
            nex0 += 1
    qel0.extend(mip0[vor0:])
    qel0.extend(tuk0[nex0:])
    return qel0",False,19,137,136,True,0.131537279612354,0.00041097130451817065,0.16558187576639982,0.00043566433305386454,0.25216636485770705,0.953640488031156,0.999968022108078,0.9952384904026985,0.9836243780958317,1.0,0.9117647058823529,0.8529411764705882,0.9894736842105263,0.0,0.010526315789473684
contains_zero__v1__procedural_prose,contains_zero__v1,contains_zero,membership_test,1,procedural_prose,"Given a list of numbers, determine whether zero occurs in the list.","Define a procedure named contains_zero that receives values.
For each value in values, do the following.
    If value equals 0, do the following.
        Return true.
Return false.",False,18,38,37,True,0.4984270939584766,0.344720721244812,0.5262309484718866,0.34624332189559937,0.5138431440969206,0.83601074041547,0.9140662550926208,0.9961248797339362,3.137929641162078,2.0,0.5675675675675675,0.2702702702702703,1.0,0.0,0.0
