trajectory_id,task_id,family,representation,variant,task_text,reference_solution,alignment_method,boundary_crossed,reference_start_token_index,base_token_count_metadata,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,std_entropy_top20,cumulative_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,std_entropy_valid_vocab,cumulative_entropy_valid_vocab,mean_p1,median_p1,mean_top20_mass,fraction_p1_ge_090,fraction_p1_ge_099,longest_run_p1_ge_090,longest_run_p1_ge_099,mean_abs_entropy_change_top20,mean_abs_entropy_change_valid_vocab,reference_in_top20_fraction,mean_reference_surprisal
bubble_sort_descending__python__v2,bubble_sort_descending,bubble_sort,python,2,"Given a list of numbers, sort it in descending order using bubble sort and return the sorted copy.","def bubble_sort_descending(output):
    current = output[:]
    for item in range(len(current) - 1, 0, -1):
        for value in range(item):
            if current[value] < current[value + 1]:
                current[value], current[value + 1] = current[value + 1], current[value]
    return current",fast_offsets,False,32,32,92,91,True,0.2500693023356899,0.03533998876810074,0.44441762951179453,22.75630651254778,0.26790461818256095,0.036002568900585175,0.49125627175899067,24.37932025461305,0.9129468752787664,0.9954010248184204,0.9978817393491556,0.7802197802197802,0.5824175824175825,23,15,0.3292916350576585,0.3520901275784531,0.967032967032967,0.5942376050065251
flatten_lists__nl__v1,flatten_lists,flatten_one_level,nl,1,"Given a list of lists, flatten exactly one level into a single list.","Create an empty result list. Examine each inner list in order, then append each of its values to the result. Return the result.",fast_offsets,False,26,26,29,28,True,0.9477171653083393,0.8074673116207123,0.6020334524621762,26.5360806286335,1.0996852117989744,1.0239054560661316,0.7406152901740699,30.791185930371284,0.7112166881561279,0.7670972049236298,0.9807048738002777,0.25,0.0,2,0,0.6653322743044959,0.843111507318638,0.9642857142857143,1.5672726093325764
frequency_map_items__nl__v2,frequency_map_items,frequency_map,nl,2,"Given a list of hashable values, build a dictionary mapping each value to its occurrence count.","Begin with an empty dictionary. Inspect each value. If it is already a key, increase its count; otherwise build the key with count one. Output the dictionary.",fast_offsets,False,29,29,34,33,True,0.9977295020538749,0.9915461540222168,0.5525646281611197,32.92507356777787,1.16101123810266,1.2211604118347168,0.6887950478087431,38.31337085738778,0.6903198036280546,0.6865725517272949,0.9802172310424574,0.21212121212121213,0.06060606060606061,2,1,0.6627637355122715,0.8164540489669889,0.9393939393939394,1.8655512337008435
string_palindrome__python__v2,string_palindrome,palindrome_test,python,2,"Given a string, determine whether it reads the same forward and backward.","def string_palindrome(current):
    item = 0
    value = len(current) - 1
    while item < value:
        if current[item] != current[value]:
            return False
        item += 1
        value -= 1
    return True",fast_offsets,False,25,25,65,64,True,0.38479867520328526,0.15366673469543457,0.5566161124097116,24.627115213010256,0.4459960628546469,0.16291458159685135,0.7178196774733743,28.5437480226974,0.8873140239156783,0.9706759452819824,0.9908506330102682,0.765625,0.375,34,8,0.3839264738631928,0.48160033718320644,0.953125,0.7650994594636202
contains_target__python__v1,contains_target,membership_test,python,1,"Given a list of values and a target, determine whether the target occurs in the list.","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",fast_offsets,False,28,28,31,30,True,0.27159759608330203,0.025493521243333817,0.5143710764494441,8.147927882499062,0.2937735248163032,0.0262024886906147,0.5768065623418231,8.813205744489096,0.9198395282030105,0.9967181384563446,0.9973576307296753,0.8333333333333334,0.6,18,8,0.28222978066107063,0.306491766715069,1.0,0.13818505885574267
matrix_find_position__nl__v3,matrix_find_position,matrix_search,nl,3,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","Scan rows from top to bottom and columns from left to right. Whenever a value equals the target, return its row and column indices. If no match exists, return minus one for both indices.",fast_offsets,False,41,41,40,39,True,1.0433631711281264,1.1385999917984009,0.7498059580800885,40.691163673996925,1.2153484109693613,1.2772802114486694,0.9037787279192058,47.39858802780509,0.6564036076649641,0.6929946541786194,0.976407799965296,0.3333333333333333,0.1282051282051282,4,3,0.7091027344331929,0.8390068784356117,1.0,0.972127717467419
chunks_fixed_size__python__v2,chunks_fixed_size,chunking,python,2,"Given a list and a positive chunk size, split the list into consecutive chunks of at most that size.","def chunks_fixed_size(output, value):
    item = []
    for current in range(0, len(output), value):
        item.append(output[current:current + value])
    return item",fast_offsets,False,32,32,50,49,True,0.5235750153536044,0.22218358516693115,0.6354854957561796,25.655175752326613,0.6379101978613738,0.2249312698841095,0.8405117620058208,31.25759969520732,0.834914572688998,0.9642508029937744,0.9844369559871907,0.5918367346938775,0.2857142857142857,7,2,0.5875902119502522,0.7609321242744045,0.9387755102040817,1.1499362373042645
is_strictly_increasing__nl__v2,is_strictly_increasing,monotonicity,nl,2,"Given a list of numbers, determine whether it is strictly increasing.","Inspect each adjacent pair from left to right. If an earlier value is greater than or equal to the following value, output false. Output true if every pair increases.",fast_offsets,False,23,23,34,33,True,1.0467746444893153,1.1561331748962402,0.6393821868377845,34.54356326814741,1.1576600052754988,1.1916342973709106,0.7168546677169152,38.20278017409146,0.6635787487030029,0.6251692771911621,0.9866020842032,0.24242424242424243,0.12121212121212122,2,2,0.6836908825789578,0.7142299882834777,0.9393939393939394,1.9730922079496933
transpose_matrix__nl__v1,transpose_matrix,matrix_transform,nl,1,"Given a non-empty rectangular matrix, return its transpose.","Create an empty result. For every column index, build a new row by taking that column value from each original row. Append each new row and return the result.",fast_offsets,False,24,24,33,32,True,1.234502773033455,1.1900314092636108,0.6605805610636915,39.50408873707056,1.5086722315754741,1.3927823305130005,0.8836207236090512,48.27751141041517,0.6346840099431574,0.6758622825145721,0.9594311006367207,0.09375,0.03125,2,1,0.7268060104500863,1.0279104099158318,0.96875,2.0739479106268845
chunks_pairs__nl__v2,chunks_pairs,chunking,nl,2,"Given a list, split it into consecutive chunks containing at most two elements.",Build an empty result list. Move a starting index through the input two positions at a time. Add the slice containing that position and the next one if present. Output the result.,fast_offsets,False,26,26,36,35,True,1.3423337977379561,1.3812832832336426,0.6775801171983765,46.98168292082846,1.6402536868516888,1.5456836223602295,0.8842514795735891,57.40887903980911,0.5870237699576787,0.5614450573921204,0.9559166737965175,0.2,0.05714285714285714,3,2,0.6999898981302977,0.9651832844623748,0.8857142857142857,2.7092790041617785
count_primes_up_to__nl__v1,count_primes_up_to,primality,nl,1,"Given a nonnegative integer n, count how many prime numbers are at most n.","Start a prime counter at zero. For every candidate from two through n, test divisors up to its square root. Increase the counter when no divisor is found. Return the counter.",fast_offsets,False,27,27,40,39,True,0.9572847907741865,0.8664082288742065,0.6499023311697427,37.33410684019327,1.1178473111910698,0.9312560558319092,0.8135748759616024,43.59604513645172,0.6885541750070376,0.7096584439277649,0.9783899402007078,0.3076923076923077,0.05128205128205128,3,1,0.7527525264181589,0.9537601753285057,1.0,1.8563138073883378
selection_sort_descending__python__v3,selection_sort_descending,selection_sort,python,3,"Given a list of numbers, sort it in descending order using selection sort and return the sorted copy.","def selection_sort_descending(n_count):
    result = n_count[:]
    for x in range(len(result)):
        element = x
        for entry in range(x + 1, len(result)):
            if result[entry] > result[element]:
                element = entry
        result[x], result[element] = result[element], result[x]
    return result",fast_offsets,False,31,31,93,92,True,0.27049860395567044,0.06049374304711819,0.4478609814779288,24.885871563921683,0.2923575549255316,0.06250128336250782,0.5080003371331923,26.89689505314891,0.9071684042396753,0.9901509881019592,0.9971660233062246,0.7608695652173914,0.5108695652173914,25,12,0.3303578640513409,0.36336239107649715,0.9565217391304348,0.7072024562930299
count_vowels__python__v3,count_vowels,char_count,python,3,"Given a lowercase string, count how many characters are vowels.","def count_vowels(x):
    entry = 0
    for element in x:
        if element in ""aeiou"":
            entry += 1
    return entry",fast_offsets,False,25,25,42,41,True,0.3792030191682165,0.15503039956092834,0.5145479021044449,15.547323785896879,0.4117213235720822,0.16191913187503815,0.565364900707298,16.88057426645537,0.8852098802240883,0.9740188717842102,0.996374785900116,0.7317073170731707,0.2682926829268293,7,3,0.4180923020379851,0.44393284250836584,0.9512195121951219,0.8964035278762067
is_subset__nl__v1,is_subset,set_relation,nl,1,"Given two collections, determine whether every value in the first collection occurs in the second.","Examine each value in the first collection. If any value is absent from the second collection, return false. Return true if every value is present.",fast_offsets,False,27,27,31,30,True,0.8352820716177424,0.8009136021137238,0.5634738623569838,25.05846214853227,0.9190813300510248,0.818105161190033,0.6280881021751643,27.572439901530743,0.7187873403231303,0.7483198642730713,0.9907085140546162,0.3333333333333333,0.06666666666666667,4,2,0.60505408780842,0.6633406045108006,1.0,0.8894155111241465
partition_by_sign__python__v1,partition_by_sign,partition,python,1,"Given a list of numbers, return two lists: negative values first and nonnegative values second, preserving input order within each group.","def partition_by_sign(values):
    negative = []
    nonnegative = []
    for value in values:
        if value < 0:
            negative.append(value)
        else:
            nonnegative.append(value)
    return negative, nonnegative",fast_offsets,False,37,37,63,62,True,0.192384766212443,0.008013557177037,0.427232521205421,11.927855505171465,0.2108119268621874,0.008381931111216545,0.4886067609989902,13.070339465455618,0.9407477813862986,0.999090701341629,0.9977237937911865,0.8709677419354839,0.6774193548387096,41,15,0.24824265501801626,0.2743619945263834,1.0,0.17946501469457637
count_above__nl__v1,count_above,threshold_count,nl,1,"Given a list of numbers and a threshold, count the values greater than the threshold.","Start a counter at zero. Examine every value. Whenever the current value is greater than the threshold, increase the counter by one. Return the counter.",fast_offsets,False,27,27,33,32,True,0.7342276558920275,0.7039087414741516,0.6253000095540858,23.49528498854488,0.8008087524067378,0.7536519169807434,0.7059053128993318,25.62588007701561,0.7599267815239727,0.7823149561882019,0.9920021779835224,0.375,0.0625,3,1,0.674114424434881,0.7526316321004303,0.96875,1.424656329849313
adjacent_sums__nl__v2,adjacent_sums,adjacent_transform,nl,2,"Given a list of numbers, create a list containing the sum of each adjacent pair.","Build an empty result list. Starting with the second input value, add it to the preceding value and add the sum. Output the result.",fast_offsets,False,27,27,28,27,True,0.9587164267345711,0.8703722953796387,0.5366731853541593,25.88534352183342,1.0723646178289696,0.9298202395439148,0.6678399028670389,28.95384468138218,0.6989055629129763,0.7382479906082153,0.9851187666257223,0.18518518518518517,0.0,1,0,0.7550342816572922,0.898853335243005,0.9629629629629629,2.2089528553187847
count_primes_up_to__python__v2,count_primes_up_to,primality,python,2,"Given a nonnegative integer n, count how many prime numbers are at most n.","def count_primes_up_to(output):
    value = 0
    for item in range(2, output + 1):
        counter = True
        current = 2
        while current * current <= item:
            if item % current == 0:
                counter = False
                break
            current += 1
        if counter:
            value += 1
    return value",fast_offsets,False,27,27,91,90,True,0.3488091061865109,0.10886584222316742,0.49173321381273555,31.39281955678598,0.3866998216307062,0.11205260455608368,0.5707901947906869,34.80298394676356,0.8905744930108388,0.9815316796302795,0.995481378502316,0.7222222222222222,0.4222222222222222,20,5,0.3994896323701335,0.44593268484001447,0.9777777777777777,0.7120828802901997
first_even_index__nl__v3,first_even_index,first_match_index,nl,3,"Given a list of integers, return the index of the first even value, or minus one if none exists.","Process the list from the beginning while tracking the current index. Whenever an even value is encountered, return its index. If the end is reached with no match, return minus one.",fast_offsets,False,32,32,37,36,True,0.8529741780366749,0.773722916841507,0.6848119860665471,30.707070409320295,0.9713667137807028,0.8908580541610718,0.8590020914533922,34.9692016961053,0.7161051419874033,0.7563873827457428,0.9827957782480452,0.3888888888888889,0.08333333333333333,5,1,0.6472875885133232,0.7699910429439374,1.0,1.2257543996448577
chunks_pairs__nl__v3,chunks_pairs,chunking,nl,3,"Given a list, split it into consecutive chunks containing at most two elements.",Initialize an empty result list. Move a starting index through the input two positions at a time. Place the slice containing that position and the next one if present. Produce the result.,fast_offsets,False,26,26,38,37,True,1.212558025645243,1.398598074913025,0.7900707675229569,44.864646948874,1.4493854486610036,1.4717152118682861,1.0052398578027286,53.62726160045713,0.6276753419959867,0.6032369136810303,0.9644170838433344,0.2972972972972973,0.08108108108108109,3,2,0.8069269706805547,1.0301518391093447,0.8648648648648649,2.8266823291369536
first_negative_index__python__v1,first_negative_index,first_match_index,python,1,"Given a list of numbers, return the index of the first negative value, or minus one if none exists.","def first_negative_index(values):
    for index, value in enumerate(values):
        if value < 0:
            return index
    return -1",fast_offsets,False,32,32,37,36,True,0.17273416433373415,0.018024498131126165,0.3366047692088477,6.218429916014429,0.18080147309713843,0.01847686432301998,0.3507022335522804,6.508853031496983,0.9418298006057739,0.9977380931377411,0.9992923024627898,0.8611111111111112,0.6666666666666666,24,18,0.1888471405105,0.19533231167754692,1.0,0.22004057461284296
ordered_intersection__nl__v2,ordered_intersection,ordered_intersection,nl,2,"Given two lists, return values from the first list that also occur in the second list, preserving duplicates and order from the first list.","Build an empty result. Inspect each value in the first list. If that value occurs in the second list, add it to the result. Output the result.",fast_offsets,False,38,38,33,32,True,0.8183839092962444,0.6527535915374756,0.6598064979604138,26.18828509747982,0.9793253974057734,0.729275107383728,0.8224970395319874,31.33841271698475,0.7433283794671297,0.8523863554000854,0.9795865137130022,0.40625,0.09375,4,2,0.6650869279138504,0.7977115680133143,0.9375,1.3422421082650544
is_prime__python__v3,is_prime,primality,python,3,"Given an integer n, determine whether it is prime.","def is_prime(entry):
    if entry < 2:
        return False
    element = 2
    while element * element <= entry:
        if entry % element == 0:
            return False
        element += 1
    return True",fast_offsets,False,21,21,58,57,True,0.21012034700681015,0.050536468625068665,0.3475992087257673,11.976859779388178,0.22787175292359552,0.05515456944704056,0.3770452823362111,12.988689916644944,0.9424777553792585,0.9929406046867371,0.9982845166273284,0.8421052631578947,0.543859649122807,28,8,0.23323907881734027,0.25207024900945335,0.9649122807017544,0.5844348286507962
binary_to_integer__python__v3,binary_to_integer,base_conversion,python,3,"Given a string of binary digits, convert it to a nonnegative integer.","def binary_to_integer(x):
    entry = 0
    for element in x:
        entry = entry * 2 + int(element)
    return entry",fast_offsets,False,25,25,39,38,True,0.4451059917919338,0.288602814078331,0.5363348124802306,16.914027688093483,0.5047597556473001,0.29872937500476837,0.6341711107817357,19.180870714597404,0.8651436253597862,0.9439640045166016,0.9925532639026642,0.631578947368421,0.3157894736842105,11,3,0.4345284448181455,0.48173697781119795,0.9473684210526315,0.9420318173675026
group_by_first_character__python__v3,group_by_first_character,grouping,python,3,"Given a list of non-empty strings, build a dictionary grouping strings by their first character while preserving input order inside each group.","def group_by_first_character(result):
    element = {}
    for x in result:
        entry = x[0]
        if entry not in element:
            element[entry] = []
        element[entry].append(x)
    return element",fast_offsets,False,37,37,61,60,True,0.35032508639560545,0.08752347156405449,0.5485919097371278,21.019505183736328,0.40157310082092107,0.096844382584095,0.6662097707911812,24.094386049255263,0.8962411147852739,0.9858660995960236,0.9929665376742681,0.7166666666666667,0.45,11,10,0.46917460353500445,0.5462905053242694,0.95,0.8310697449203872
rotate_right_one__python__v3,rotate_right_one,rotation,python,3,"Given a non-empty list, rotate it right by one position.","def rotate_right_one(x):
    element = [x[-1]]
    for entry in x[:-1]:
        element.append(entry)
    return element",fast_offsets,False,24,24,40,39,True,0.47952485212889046,0.3108851909637451,0.500957864547374,18.701469233026728,0.522121058532204,0.3214089274406433,0.5640807422823649,20.362721282755956,0.843114198018343,0.9302069544792175,0.9952626793812482,0.5641025641025641,0.20512820512820512,7,4,0.4622243179228941,0.5161866841862273,0.9230769230769231,1.0181114120742467
first_negative_index__nl__v2,first_negative_index,first_match_index,nl,2,"Given a list of numbers, return the index of the first negative value, or minus one if none exists.","Inspect the list from the beginning while tracking the current index. If a negative value is encountered, output its index. When the end is reached with no match, output minus one.",fast_offsets,False,32,32,37,36,True,0.8923106259769864,0.8358169794082642,0.6466980331045853,32.12318253517151,1.0068571180001729,0.8549030423164368,0.7965237786575968,36.246856248006225,0.7046164953046374,0.7489805519580841,0.9842274006870058,0.2777777777777778,0.05555555555555555,2,1,0.6426520620073591,0.7663874367518084,0.9722222222222222,1.6300252092187293
merge_sorted_descending__nl__v3,merge_sorted_descending,merge_sorted,nl,3,"Given two lists sorted in descending order, merge them into one descending list.",Initialize an empty result and place one index at the start of each list. Repeatedly append the larger current value and advance its index. Place any remaining values and return the result.,fast_offsets,False,27,27,39,38,True,1.0960411587484966,1.0849568843841553,0.6933627444718744,41.64956403244287,1.269701552087147,1.1143097877502441,0.8555899039872616,48.248658979311585,0.6496182342893199,0.6128710210323334,0.9756387550579874,0.23684210526315788,0.07894736842105263,2,2,0.7789845063376266,0.9394449804078888,0.9210526315789473,1.9382066261452182
selection_sort_ascending__python__v1,selection_sort_ascending,selection_sort,python,1,"Given a list of numbers, sort it in ascending order using selection sort and return the sorted copy.","def selection_sort_ascending(values):
    result = values[:]
    for index in range(len(result)):
        best = index
        for candidate in range(index + 1, len(result)):
            if result[candidate] < result[best]:
                best = candidate
        result[index], result[best] = result[best], result[index]
    return result",fast_offsets,False,31,31,91,90,True,0.1749058305621121,0.017963530495762825,0.33825131568914607,15.741524750590088,0.18576528366241593,0.019614153541624546,0.3735991356191602,16.718875529617435,0.9434092462062835,0.9977742731571198,0.9987211942672729,0.8555555555555555,0.6555555555555556,28,16,0.23541884030759463,0.2540616674169756,0.9777777777777777,0.5501997134833001
group_by_first_character__nl__v3,group_by_first_character,grouping,nl,3,"Given a list of non-empty strings, build a dictionary grouping strings by their first character while preserving input order inside each group.","Initialize with an empty dictionary. Process each string, use its first character as the key, create an empty list for a new key, and append the string to that key's list. Produce the dictionary.",fast_offsets,False,37,37,44,43,True,0.8677326654014482,0.7590236663818359,0.6774220972385137,37.31250461226227,1.0381673487436485,0.7885196208953857,0.9394162470955228,44.64119599597689,0.7210387455862622,0.8029817938804626,0.9742943200954172,0.4186046511627907,0.06976744186046512,4,1,0.7094295288135029,0.9204270849331806,0.9302325581395349,1.6205353097838333
running_product__python__v1,running_product,cumulative_scan,python,1,"Given a list of numbers, produce the running product after each position.","def running_product(values):
    product = 1
    result = []
    for value in values:
        product *= value
        result.append(product)
    return result",fast_offsets,False,24,24,43,42,True,0.20567638452863926,0.03426401689648628,0.42039296994624786,8.63840815020285,0.21365993706257586,0.034547144547104836,0.43558775139605393,8.973717356628185,0.9351857971577417,0.9951455891132355,0.9992581208546957,0.8333333333333334,0.6190476190476191,21,12,0.32793938553692076,0.3384751400726822,1.0,0.25615565880802443
anti_diagonal_sum__python__v1,anti_diagonal_sum,diagonal_aggregate,python,1,"Given a square matrix, calculate the sum of its anti-diagonal.","def anti_diagonal_sum(matrix):
    total = 0
    size = len(matrix)
    for row in range(size):
        total += matrix[row][size - 1 - row]
    return total",fast_offsets,False,26,26,53,52,True,0.22641795773317705,0.05064353160560131,0.4269471183003398,11.773733802125207,0.23403221888397988,0.05159870535135269,0.4437459167938298,12.169675381966954,0.9271692450229938,0.9927168488502502,0.9992548032448842,0.8269230769230769,0.5192307692307693,11,5,0.2914943122401989,0.30088451896082524,1.0,0.25510112308456184
chunks_pairs__python__v1,chunks_pairs,chunking,python,1,"Given a list, split it into consecutive chunks containing at most two elements.","def chunks_pairs(values):
    result = []
    for start in range(0, len(values), 2):
        result.append(values[start:start + 2])
    return result",fast_offsets,False,26,26,49,48,True,0.3586404926954856,0.07729382440447807,0.5443540744134661,17.21474364938331,0.41485660439260147,0.07875614613294601,0.6651602728485625,19.91311701084487,0.8900226727128029,0.9870591759681702,0.992726186911265,0.75,0.4791666666666667,13,5,0.4439484466033235,0.52748344124275,0.9791666666666666,0.5835540420023335
matrix_find_position__python__v3,matrix_find_position,matrix_search,python,3,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","def matrix_find_position(entry, result):
    for x in range(len(entry)):
        for element in range(len(entry[x])):
            if entry[x][element] == result:
                return x, element
    return -1, -1",fast_offsets,False,41,41,62,61,True,0.39407884097681,0.09384919703006744,0.5850885213186994,24.03880929958541,0.4486095109710195,0.09443144500255585,0.6820365776030625,27.36518016923219,0.8712686823039758,0.9842255115509033,0.9935859559012241,0.7540983606557377,0.4426229508196721,25,6,0.3775417740980629,0.44225345977659647,0.9672131147540983,0.940423195944411
list_divisors__python__v3,list_divisors,divisors,python,3,"Given a positive integer n, return all positive divisors of n in increasing order.","def list_divisors(entry):
    x = []
    for element in range(1, entry + 1):
        if entry % element == 0:
            x.append(element)
    return x",fast_offsets,False,27,27,50,49,True,0.30798551537410107,0.10266569256782532,0.4633048712776054,15.091290253330953,0.3540874208010049,0.10689245909452438,0.564213080792662,17.35028361924924,0.9156922685856722,0.9834436178207397,0.9944117519320274,0.7346938775510204,0.3877551020408163,15,5,0.31839514445649303,0.3759316489158664,0.9591836734693877,0.6804780513518882
insertion_sort_ascending__nl__v2,insertion_sort_ascending,insertion_sort,nl,2,"Given a list of numbers, sort it in ascending order using insertion sort and return the sorted copy.","Copy the list. Starting with the second element, shift larger earlier values one position right until the current value can be inserted in order. Output the copy.",fast_offsets,False,32,32,31,30,True,1.1472018147508303,1.2278716564178467,0.5762061401363915,34.41605444252491,1.3298397714893022,1.368171513080597,0.7100559552032131,39.89519314467907,0.6440648068984349,0.6749426424503326,0.9758611857891083,0.2,0.0,3,0,0.5220601969751818,0.6116315876615459,0.9,2.225550329126418
scan_min__python__v1,scan_min,scan_extremum,python,1,"Given a non-empty list of numbers, find the smallest value by scanning the list once.","def scan_min(values):
    best = values[0]
    for value in values[1:]:
        if value < best:
            best = value
    return best",fast_offsets,False,30,30,41,40,True,0.3269437705283053,0.06807312741875648,0.5292582634597396,13.077750821132213,0.35228635707462674,0.0730331651866436,0.5727931892603357,14.091454282985069,0.891285590082407,0.9899665415287018,0.9973084673285484,0.75,0.5,19,8,0.33073598181064695,0.35881772922137034,0.975,0.6500889559465577
